code,name,industry,board,is_stage2,date,close,ma50,ma150,ma200,52w_high,52w_low,pct_above_52w_low,pct_below_52w_high,return_20d_pct,return_120d_pct,amount_cny,volume,score,conditions,cup_handle_details,vcp_details,pullback_details,financial_pass,financial_score,market_cap_cny,next_report_period,next_report_deadline,rev_growth,profit_growth,profit_margin,matched_reason,scanned_at
600596,新安股份,Unknown,上海主板,True,2026-06-16,15.91,12.66,12.09,11.68,16.36,7.78,104.5,-2.75,34.04,49.53,1977089723.0,125366763.0,132.25,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': True, 'pullback_confirm': np.True_}","{'cup_valid': True, 'cup_high': 13.59, 'cup_low': 10.38, 'cup_depth_pct': 23.62, 'cup_days': 70, 'right_rim_price': 14.84, 'handle_valid': False, 'handle_high': 15.91, 'handle_low': 14.3, 'handle_depth_pct': 10.12, 'handle_days': 5, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': True, 'near_rim': True}","{'vcp_valid': True, 'vcp_status': '已突破', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 7.92, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': True, 'vcp_ranges': [13.8, 23.62, 7.92], 'vcp_vols': [44278261.0, 27431976.25, 28209767.55], 'vcp_resistance': 12.62}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,15,0,中报,2026-08-31,"[-1.09, -0.28, 12.69]","[-44.63, 117.26, 143.83]","[0.74, 0.87, 2.44]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; VCP 波动收缩; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
300806,斯迪克,C 制造业,创业板,True,2026-06-16,97.0,73.73,50.25,44.16,100.96,14.89,551.44,-3.92,19.99,268.4,3396648238.0,36307089.0,131.08,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': True, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': True, 'vcp_status': '已突破', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 20.68, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': True, 'vcp_ranges': [28.14, 20.68], 'vcp_vols': [19790448.73, 22215054.12], 'vcp_resistance': 90.88}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,15,0,中报,2026-08-31,"[11.57, 12.08, 12.88]","[-15.81, 14.21, 70.69]","[2.02, 2.01, 2.17]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; VCP 波动收缩; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
605289,罗曼股份,Unknown,上海主板,True,2026-06-16,130.42,102.44,73.46,65.67,130.42,19.06,584.26,0.0,21.93,143.87,1020973225.0,7959205.0,130.0,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': True, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': True, 'vcp_status': '已突破', 'vcp_contractions': 5, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 13.1, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': True, 'vcp_ranges': [17.03, 11.43, 31.4, 15.39, 13.1], 'vcp_vols': [3049887.89, 2982773.0, 4769239.07, 4505682.11, 5143777.88], 'vcp_resistance': 120.25}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,10,0,中报,2026-08-31,"[63.1, 174.18, 113.46]","[613.65, 84.47, 267.32]","[2.85, 7.06, 14.06]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; VCP 波动收缩; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
600228,返利科技,Unknown,上海主板,True,2026-06-16,8.92,6.38,6.08,5.9,8.92,4.06,119.7,0.0,36.6,57.32,458450907.0,53860000.0,128.0,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': True, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': True, 'vcp_status': '已突破', 'vcp_contractions': 5, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 11.45, 'vcp_vol_dry_up': np.True_, 'vcp_breakout': True, 'vcp_ranges': [12.74, 14.51, 14.57, 5.85, 11.45], 'vcp_vols': [11719524.44, 8275670.46, 5019929.0, 8127279.0, 7464237.05], 'vcp_resistance': 6.81}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,8,0,中报,2026-08-31,"[63.67, 126.76, 164.97]","[-145.88, -940.37, -1089.13]","[-14.2, -11.45, -9.87]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; VCP 波动收缩; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
301086,鸿富瀚,C 制造业,创业板,True,2026-06-16,198.25,143.84,101.81,89.14,203.68,29.95,561.94,-2.67,19.3,190.65,1025273776.0,5352770.0,127.33,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': True, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': True, 'vcp_status': '已突破', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': False, 'vcp_tight_range': 21.16, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': True, 'vcp_ranges': [22.91, 14.91, 21.16], 'vcp_vols': [2749006.47, 1828954.11, 2659909.64], 'vcp_resistance': 177.96}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,10,0,中报,2026-08-31,"[7.87, 11.28, 62.75]","[-30.11, -17.77, 54.63]","[11.85, 9.95, 9.38]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; VCP 波动收缩; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
000691,亚太实业,C 制造业,深圳主板,True,2026-06-16,11.15,8.36,8.25,7.93,11.24,3.18,250.63,-0.8,34.34,46.52,294234609.0,26899325.0,127.2,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': True, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': True, 'vcp_status': '已突破', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': True, 'high_trend_ok': False, 'vcp_tight_range': 11.82, 'vcp_vol_dry_up': np.True_, 'vcp_breakout': True, 'vcp_ranges': [23.8, 9.75, 11.82], 'vcp_vols': [9055901.97, 6509403.0, 5267235.11], 'vcp_resistance': 8.12}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,8,0,中报,2026-08-31,"[1.2, 17.61, 59.72]",,"[-11.85, -6.45, 6.57]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; VCP 波动收缩; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
300263,隆华科技,C 制造业,创业板,True,2026-06-16,16.08,11.63,10.27,9.85,16.57,6.75,138.22,-2.96,21.54,94.2,2708695607.0,170253800.0,127.04,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': True, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': True, 'vcp_status': '已突破', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 18.18, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': True, 'vcp_ranges': [24.84, 18.18], 'vcp_vols': [43762234.19, 67280254.64], 'vcp_resistance': 13.86}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,10,0,中报,2026-08-31,"[20.49, 13.39, 29.74]","[11.67, 29.03, 33.26]","[8.14, 6.28, 7.9]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; VCP 波动收缩; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
300005,探路者,C 制造业,创业板,True,2026-06-16,17.6,15.31,13.31,12.25,18.72,8.1,117.28,-5.98,8.91,74.95,1733881082.0,97931813.0,127.02,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': True, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': True, 'vcp_status': '已突破', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 13.15, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': True, 'vcp_ranges': [23.34, 13.15], 'vcp_vols': [26136611.3, 40992244.75], 'vcp_resistance': 16.8}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,13,0,中报,2026-08-31,"[-13.98, -13.25, 39.41]","[-78.36, -37.61, 46.81]","[1.94, 3.38, 13.22]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; VCP 波动收缩; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
300843,胜蓝股份,C 制造业,创业板,True,2026-06-16,117.62,82.59,61.55,59.66,117.62,26.32,346.88,0.0,13.85,154.59,1192039146.0,10802016.0,125.0,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,15,0,中报,2026-08-31,"[34.72, 35.26, 46.09]","[21.92, 11.64, 21.6]","[8.37, 6.44, 7.54]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
301536,星宸科技,C 制造业,创业板,True,2026-06-16,110.35,83.44,71.3,69.07,110.63,53.2,107.42,-0.25,17.92,89.08,2118760550.0,19629372.0,124.75,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,15,0,中报,2026-08-31,"[19.5, 26.28, 49.35]","[3.03, 20.09, 332.29]","[9.33, 10.35, 22.26]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
603124,江南新材,Unknown,上海主板,True,2026-06-16,202.45,134.58,104.4,99.28,203.5,40.36,401.61,-0.52,68.4,176.31,1161516046.0,5903116.0,124.48,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 13.43, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [19.68, 13.43], 'vcp_vols': [2323090.94, 3045576.6], 'vcp_resistance': 135.69}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,15,0,中报,2026-08-31,"[18.34, 18.74, 39.7]","[21.95, 24.28, 113.91]","[2.18, 2.12, 2.47]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
002768,国恩股份,C 制造业,深圳主板,True,2026-06-16,77.67,58.41,55.16,53.45,78.39,24.81,213.06,-0.92,21.36,48.74,859081956.0,11277465.0,124.08,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_valid': True, 'cup_high': 59.74, 'cup_low': 45.1, 'cup_depth_pct': 24.51, 'cup_days': 77, 'right_rim_price': 68.05, 'handle_valid': False, 'handle_high': 77.67, 'handle_low': 61.46, 'handle_depth_pct': 20.87, 'handle_days': 13, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': True, 'near_rim': True}",{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,15,0,中报,2026-08-31,"[9.44, 10.57, 21.86]","[27.23, 16.12, 138.95]","[4.0, 3.87, 5.05]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
601958,金钼股份,Unknown,上海主板,True,2026-06-16,28.88,21.42,19.07,18.07,29.76,10.25,181.76,-2.96,37.59,103.81,8140625409.0,284849331.0,124.04,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': True, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': True, 'vcp_status': '已突破', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 22.53, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': True, 'vcp_ranges': [20.09, 33.35, 22.53], 'vcp_vols': [76780809.0, 58218832.56, 93033437.88], 'vcp_resistance': 26.85}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",False,7,0,中报,2026-08-31,"[7.8, 1.94, 26.67]","[3.67, 5.88, 33.47]","[23.45, 25.36, 24.03]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; VCP 波动收缩; pullback to MA with volume confirmation,2026-06-16 23:39:39
002842,翔鹭钨业,C 制造业,深圳主板,True,2026-06-16,46.35,34.6,26.29,22.49,48.35,7.97,481.56,-4.14,39.65,303.39,3820385836.0,84368379.0,123.86,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': True, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': True, 'vcp_status': '已突破', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': False, 'high_trend_ok': False, 'vcp_tight_range': 19.81, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': True, 'vcp_ranges': [34.6, 19.81], 'vcp_vols': [42306822.06, 40047528.71], 'vcp_resistance': 39.78}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,8,0,中报,2026-08-31,"[24.0, 37.71, 138.65]",[2917.13],"[3.2, 5.97, 21.82]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; VCP 波动收缩; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
003022,联泓新科,C 制造业,深圳主板,True,2026-06-16,28.28,24.03,21.4,21.19,28.65,14.8,91.08,-1.29,17.88,50.19,1120001391.0,40226502.0,123.71,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,15,0,中报,2026-08-31,"[-8.02, 1.11, 45.93]","[37.18, 19.46, 147.38]","[5.24, 5.01, 8.19]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
300726,宏达电子,C 制造业,创业板,True,2026-06-16,80.96,54.84,48.93,46.19,86.66,31.75,154.99,-6.58,35.84,96.12,3931615775.0,47773872.0,123.42,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': True, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': True, 'vcp_status': '已突破', 'vcp_contractions': 2, 'vcp_tighten': False, 'vcp_vol_shrink': True, 'high_trend_ok': True, 'vcp_tight_range': 25.68, 'vcp_vol_dry_up': np.True_, 'vcp_breakout': True, 'vcp_ranges': [14.46, 25.68], 'vcp_vols': [18510754.7, 7244710.04], 'vcp_resistance': 54.25}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,10,0,中报,2026-08-31,"[18.81, 18.99, 11.68]","[24.43, 45.14, 80.8]","[28.0, 25.71, 31.05]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; VCP 波动收缩; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
002125,湘潭电化,C 制造业,深圳主板,True,2026-06-16,19.9,14.88,14.47,14.44,20.86,9.78,103.48,-4.6,41.84,51.22,2322472596.0,115823144.0,123.4,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': True, 'pullback_confirm': np.True_}","{'cup_valid': False, 'cup_high': 15.24, 'cup_low': 12.36, 'cup_depth_pct': 18.9, 'cup_days': 87, 'right_rim_price': 16.97, 'handle_valid': False, 'handle_high': 19.9, 'handle_low': 18.06, 'handle_depth_pct': 9.25, 'handle_days': 5, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': True, 'near_rim': True}","{'vcp_valid': True, 'vcp_status': '已突破', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 10.06, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': True, 'vcp_ranges': [12.86, 18.68, 10.06], 'vcp_vols': [33204124.1, 24036807.72, 25995051.92], 'vcp_resistance': 15.5}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,8,0,中报,2026-08-31,"[1.36, 0.46, 0.33]","[-37.79, -29.57, 86.2]","[10.72, 11.18, 21.03]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; VCP 波动收缩; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
300331,苏大维格,C 制造业,创业板,True,2026-06-16,71.74,53.12,43.8,40.75,71.99,20.2,255.15,-0.35,28.11,136.06,2004055435.0,28569119.0,122.65,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 13.99, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [18.12, 22.08, 13.99], 'vcp_vols': [16402558.81, 12937870.44, 18037455.89], 'vcp_resistance': 59.62}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,13,0,中报,2026-08-31,"[7.96, 10.82, 15.0]","[4.68, -9.13, 135.1]","[2.39, -1.12, 8.55]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
002119,康强电子,C 制造业,深圳主板,True,2026-06-16,33.26,23.52,21.11,20.18,34.32,14.78,125.03,-3.09,35.87,103.8,2910215475.0,90169023.0,121.91,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': True, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': True, 'vcp_status': '已突破', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': False, 'high_trend_ok': False, 'vcp_tight_range': 12.05, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': True, 'vcp_ranges': [29.51, 12.05], 'vcp_vols': [38654092.6, 42691690.8], 'vcp_resistance': 23.41}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",False,5,0,中报,2026-08-31,"[5.16, 11.96, 49.31]","[21.4, 40.01, -1.74]","[6.17, 5.3, 3.88]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; VCP 波动收缩; pullback to MA with volume confirmation,2026-06-16 23:39:39
688257,新锐股份,Unknown,科创板,True,2026-06-16,101.05,62.38,42.55,35.45,104.31,9.62,950.42,-3.13,70.09,330.92,2320285557.0,23052039.0,121.87,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 11.24, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [13.26, 26.41, 11.24], 'vcp_vols': [6724801.9, 10043458.75, 9026311.86], 'vcp_resistance': 58.12}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,15,0,中报,2026-08-31,"[32.11, 33.89, 111.57]","[21.94, 22.45, 479.94]","[10.61, 10.47, 29.21]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
